candidate_id,name,norm_name,place_type,focus_type,is_specific_focus,localidad,comuna,provincia,region,lat,lon,source,ambiguous_count
geo_031087,Punta Cuevas,punta cuevas,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-51.916717562209925,-72.61628264013267,Toponimos_BCN,2
geo_031088,Punta Cuidado,punta cuidado,Elementos del Relieve,relieve,True,,ISLA DE PASCUA,ISLA DE PASCUA,DE VALPARAISO,-27.13848193462257,-109.30812316144058,Toponimos_BCN,1
geo_031089,Punta Cullin,punta cullin,Elementos del Relieve,relieve,True,,TOME,CONCEPCION,DEL BIO-BIO,-36.516773845442586,-72.96637097616694,Toponimos_BCN,1
geo_031090,Punta Cullinto,punta cullinto,Elementos del Relieve,relieve,True,,TALCAHUANO,CONCEPCION,DEL BIO-BIO,-36.78344008822603,-73.19970285106957,Toponimos_BCN,1
geo_031091,Punta Culmen,punta culmen,Elementos del Relieve,relieve,True,,QUINCHAO,CHILOE,DE LOS LAGOS,-42.43342134120966,-73.46634377700697,Toponimos_BCN,1
geo_031092,Punta Culmer,punta culmer,Elementos del Relieve,relieve,True,,QUINCHAO,CHILOE,DE LOS LAGOS,-42.43342134120966,-73.46634377700697,Toponimos_BCN,1
geo_031093,Punta Cummins,punta cummins,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.016716150142216,-73.44960402203037,Toponimos_BCN,1
geo_031094,Punta Cuna,punta cuna,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-54.93335617708395,-67.62460313513104,Toponimos_BCN,1
geo_031095,Punta Cuquiquil,punta cuquiquil,Elementos del Relieve,relieve,True,,DALCAHUE,CHILOE,DE LOS LAGOS,-42.36675529715483,-73.58301046320408,Toponimos_BCN,1
geo_031096,Punta Curaumilla,punta curaumilla,Elementos del Relieve,relieve,True,,VALPARAISO,VALPARAISO,DE VALPARAISO,-33.10067129761733,-71.74277424814247,Toponimos_BCN,1
geo_031097,Punta Curaumilta,punta curaumilta,Elementos del Relieve,relieve,True,,VALPARAISO,VALPARAISO,DE VALPARAISO,-33.10067129761733,-71.74277424814247,Toponimos_BCN,1
geo_031098,Punta Curle,punta curle,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-49.51673236629404,-74.46629740513411,Toponimos_BCN,1
geo_031099,Punta Currant,punta currant,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-49.850066966215046,-75.23295968764931,Toponimos_BCN,1
geo_031100,Punta Current,punta current,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-49.850066966215046,-75.23295968764931,Toponimos_BCN,1
geo_031101,Punta Cushing,punta cushing,Elementos del Relieve,relieve,True,,PUNTA ARENAS,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.816707029460304,-71.59960158101629,Toponimos_BCN,1
geo_031102,Punta Cutler,punta cutler,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.70006158422392,-74.53295459829162,Toponimos_BCN,1
geo_031103,Punta Cutter,punta cutter,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.43338603367701,-73.78294172089667,Toponimos_BCN,1
geo_031104,Punta Cutters,punta cutters,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.43338603367701,-73.78294172089667,Toponimos_BCN,1
geo_031105,Punta Cuyumue,punta cuyumue,Elementos del Relieve,relieve,True,,CASTRO,CHILOE,DE LOS LAGOS,-42.40008870709989,-73.66634351057876,Toponimos_BCN,1
geo_031106,Punta Cyrano,punta cyrano,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.23338949542162,-74.59960815866208,Toponimos_BCN,1
geo_031107,Punta Dafne,punta dafne,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-47.78340487647627,-74.34964338158927,Toponimos_BCN,1
geo_031108,Punta Dallas,punta dallas,Elementos del Relieve,relieve,True,,CALDERA,COPIAPO,DE ATACAMA,-27.37173483607651,-70.96242292169488,Toponimos_BCN,1
