folio,id_persona,expp,expc,provincia,comuna
101310601,2,32,32,31,3101
101310701,1,32,32,31,3101
101310701,2,32,32,31,3101
101310801,1,33,32,31,3101
101311001,1,33,32,31,3101
101311101,1,32,32,31,3101
101311101,2,32,32,31,3101
101311101,3,32,32,31,3101
101311201,1,32,32,31,3101
101311201,2,32,32,31,3101
101320101,1,73,74,81,8101
101320101,2,73,74,81,8101
101320101,3,73,74,81,8101
101320301,1,72,74,81,8101
101320301,2,72,74,81,8101
101320301,3,72,74,81,8101
101320401,1,73,74,81,8101
101320401,2,73,74,81,8101
101320401,3,73,74,81,8101
101320401,4,73,74,81,8101
101320501,1,73,74,81,8101
101320501,2,73,74,81,8101
101320501,3,73,74,81,8101
101320501,4,73,74,81,8101
101320701,1,73,74,81,8101
101320701,2,73,74,81,8101
101350101,1,117,113,161,16101
101350101,2,117,113,161,16101
101350201,1,116,114,161,16101
101350301,1,117,114,161,16101
101350301,2,117,114,161,16101
101350301,3,117,114,161,16101
101350301,4,117,114,161,16101
101350401,1,117,114,161,16101
101350401,2,117,114,161,16101
101350501,1,117,113,161,16101
101350501,2,117,113,161,16101
101350501,3,117,113,161,16101
101350501,4,117,113,161,16101
101350801,1,116,114,161,16101
101350801,2,116,114,161,16101
101350801,3,116,114,161,16101
101350801,4,116,114,161,16101
101350901,1,117,114,161,16101
101350901,2,117,114,161,16101
101351001,1,117,114,161,16101
101351001,2,117,114,161,16101
101360101,1,204,236,131,13124
101360201,1,203,236,131,13124
101360201,2,203,236,131,13124
101360501,1,203,236,131,13124
101360501,2,203,236,131,13124
101360501,3,203,236,131,13124
101360601,1,203,236,131,13124
101360601,2,203,236,131,13124
101360801,1,203,235,131,13124
101360801,2,203,235,131,13124
101360801,3,203,235,131,13124
101370101,1,233,210,136,13605
101370101,2,233,210,136,13605
101370101,3,233,210,136,13605
101370101,4,233,210,136,13605
101370201,1,233,210,136,13605
101370201,2,233,210,136,13605
101370201,3,233,210,136,13605
101370301,1,233,210,136,13605
101370301,2,233,210,136,13605
101370301,3,233,210,136,13605
101370401,1,234,210,136,13605
101370401,2,234,210,136,13605
101370401,3,234,210,136,13605
